side,lock,period,start,end,roi_pct,bench_roi_pct,alpha_pct,max_dd_pct,win_rate_pct,profit_factor,trades,long_trades,short_trades
long,kapalı,1y,2025-06-12 00:00,2026-06-12 12:00,112.46,-41.62,154.07,-30.75,31.4,1.338,1520,,
short,kapalı,1y,2025-06-12 00:00,2026-06-12 12:00,-44.56,-41.62,-2.94,-50.5,31.5,0.749,1606,,
combined,kapalı,1y,2025-06-12 00:00,2026-06-12 12:00,17.76,-41.62,59.38,-52.15,31.2,1.039,3064,1490,1574
long,kapalı,6mo,2025-12-12 00:00,2026-06-12 12:00,75.81,-30.69,106.51,-30.75,32.6,1.483,774,,
short,kapalı,6mo,2025-12-12 00:00,2026-06-12 12:00,-29.23,-30.69,1.46,-35.41,30.5,0.732,934,,
combined,kapalı,6mo,2025-12-12 00:00,2026-06-12 12:00,28.56,-30.69,59.25,-42.1,31.5,1.116,1656,748,908
long,kapalı,3mo,2026-03-13 00:00,2026-06-12 12:00,98.78,-11.21,109.99,-12.61,34.6,1.906,448,,
short,kapalı,3mo,2026-03-13 00:00,2026-06-12 12:00,-13.14,-11.21,-1.93,-17.68,31.1,0.737,424,,
combined,kapalı,3mo,2026-03-13 00:00,2026-06-12 12:00,80.34,-11.21,91.55,-17.6,33.3,1.45,850,436,414
long,0.45,1y,2025-06-12 00:00,2026-06-12 12:00,31.36,-41.62,72.98,-24.25,33.5,1.214,704,,
long,0.6,1y,2025-06-12 00:00,2026-06-12 12:00,101.48,-41.62,143.09,-18.89,33.1,1.421,1086,,
long,0.8,1y,2025-06-12 00:00,2026-06-12 12:00,118.62,-41.62,160.24,-26.42,32.1,1.399,1360,,
