side,period,start,end,roi_pct,bench_roi_pct,alpha_pct,max_dd_pct,win_rate_pct,profit_factor,trades,long_trades,short_trades,long_pnl,short_pnl
long,5y,2021-06-13,2026-06-11,56.22,63.06,-6.84,-15.71,46.9,4.666,32,,,,
short,5y,2021-06-13,2026-06-11,-18.61,63.06,-81.67,-60.1,35.1,0.844,211,,,,
combined,5y,2021-06-13,2026-06-11,28.61,63.06,-34.45,-57.87,36.5,1.208,241,32,209,33331.73,-4723.79
combined_half,5y,2021-06-13,2026-06-11,35.21,63.06,-27.84,-39.94,35.3,1.414,255,32,223,41169.9,-5956.28
long,3y,2023-06-13,2026-06-11,56.22,145.34,-89.12,-15.71,46.9,4.666,32,,,,
short,3y,2023-06-13,2026-06-11,-10.77,145.34,-156.11,-41.68,34.4,0.821,125,,,,
combined,3y,2023-06-13,2026-06-11,40.99,145.34,-104.34,-38.42,36.8,1.512,155,32,123,36541.71,4451.69
combined_half,3y,2023-06-13,2026-06-11,44.87,145.34,-100.46,-24.85,35.6,1.835,163,32,131,44111.24,762.57
long,2y,2024-06-12,2026-06-11,56.22,-6.79,63.01,-15.71,46.9,4.666,32,,,,
short,2y,2024-06-12,2026-06-11,-7.06,-6.79,-0.26,-39.43,36.9,0.876,103,,,,
combined,2y,2024-06-12,2026-06-11,46.86,-6.79,53.66,-36.05,39.1,1.606,133,32,101,38062.95,8800.05
combined_half,2y,2024-06-12,2026-06-11,48.54,-6.79,55.34,-23.06,38.1,1.94,139,32,107,45227.95,3313.45
long,1y,2025-06-12,2026-06-11,56.5,-39.79,96.29,-15.71,46.7,4.745,30,,,,
short,1y,2025-06-12,2026-06-11,37.28,-39.79,77.07,-14.16,52.5,2.29,61,,,,
combined,1y,2025-06-12,2026-06-11,117.31,-39.79,157.1,-20.78,50.6,2.985,89,30,59,56504.74,60809.1
combined_half,1y,2025-06-12,2026-06-11,84.98,-39.79,124.77,-17.2,50.5,3.349,91,30,61,56504.74,28472.41
long,6mo,2025-12-12,2026-06-11,0.0,-29.51,29.51,0.0,0.0,,0,,,,
short,6mo,2025-12-12,2026-06-11,32.07,-29.51,61.59,-14.23,50.8,2.171,59,,,,
combined,6mo,2025-12-12,2026-06-11,32.07,-29.51,61.59,-14.23,50.8,2.171,59,0,59,0,32073.89
combined_half,6mo,2025-12-12,2026-06-11,17.06,-29.51,46.57,-7.56,50.8,2.435,59,0,59,0,17056.85
