date,long,short,combined,combined_half,btc_bh
2021-06-13,100000.00,100000.00,100000.00,100000.00,100000.00
2021-06-14,100000.00,100000.00,100000.00,100000.00,103833.16
2021-06-15,100000.00,100000.00,100000.00,100000.00,102879.17
2021-06-16,100000.00,100000.00,100000.00,100000.00,98278.96
2021-06-17,100000.00,100000.00,100000.00,100000.00,97622.79
2021-06-18,100000.00,100000.00,100000.00,100000.00,91797.33
2021-06-19,100000.00,100000.00,100000.00,100000.00,90935.93
2021-06-20,100000.00,100000.00,100000.00,100000.00,91234.34
2021-06-21,100000.00,100000.00,100000.00,100000.00,81005.81
2021-06-22,100000.00,100000.00,100000.00,100000.00,83313.90
2021-06-23,100000.00,100000.00,100000.00,100000.00,86308.50
2021-06-24,100000.00,100000.00,100000.00,100000.00,88832.86
2021-06-25,100000.00,100000.00,100000.00,100000.00,80943.08
2021-06-26,100000.00,100000.00,100000.00,100000.00,82734.95
2021-06-27,100000.00,100000.00,100000.00,100000.00,88928.33
2021-06-28,100000.00,100000.00,100000.00,100000.00,88401.81
2021-06-29,100000.00,100000.00,100000.00,100000.00,92032.82
2021-06-30,100000.00,100000.00,100000.00,100000.00,89811.60
2021-07-01,100000.00,100000.00,100000.00,100000.00,85864.17
2021-07-02,100000.00,100000.00,100000.00,100000.00,86586.51
2021-07-03,100000.00,100000.00,100000.00,100000.00,88848.34
2021-07-04,100000.00,100000.00,100000.00,100000.00,90430.53
2021-07-05,100000.00,100000.00,100000.00,100000.00,86339.44
2021-07-06,100000.00,100000.00,100000.00,100000.00,87697.36
2021-07-07,100000.00,100000.00,100000.00,100000.00,86780.18
2021-07-08,100000.00,100000.00,100000.00,100000.00,84252.25
2021-07-09,100000.00,100000.00,100000.00,100000.00,86661.50
2021-07-10,100000.00,100000.00,100000.00,100000.00,85859.51
2021-07-11,100000.00,100000.00,100000.00,100000.00,87797.26
2021-07-12,100000.00,100000.00,100000.00,100000.00,84792.79
2021-07-13,100000.00,100000.00,100000.00,100000.00,83878.25
2021-07-14,100000.00,100000.00,100000.00,100000.00,84109.54
2021-07-15,100000.00,100000.00,100000.00,100000.00,81700.50
2021-07-16,100000.00,100000.00,100000.00,100000.00,80429.04
2021-07-17,100000.00,100000.00,100000.00,100000.00,80778.09
2021-07-18,100000.00,100000.00,100000.00,100000.00,81440.53
2021-07-19,100000.00,100000.00,100000.00,100000.00,79034.34
2021-07-20,100000.00,100000.00,100000.00,100000.00,76345.25
2021-07-21,100000.00,100000.00,100000.00,100000.00,82378.37
2021-07-22,100000.00,100000.00,100000.00,100000.00,82745.66
2021-07-23,100000.00,100000.00,100000.00,100000.00,86195.79
