exit_key,exit_label,period,start,end,roi_pct,bench_roi_pct,alpha_pct,max_dd_pct,win_rate_pct,profit_factor,trades,final_capital
atr,ATR-trail,5y,2021-06-13,2026-06-11,95.21157509799917,63.0575616911798,32.15,-44.530452513979334,35.84905660377358,1.3974473454770286,106,195211.58
hybrid,8/21-EMA hibrit,5y,2021-06-13,2026-06-11,105.99759156212247,63.0575616911798,42.94,-39.911328104971425,35.51401869158878,1.5013324230631708,214,205997.59
split,½hibrit+½ATR,5y,2021-06-13,2026-06-11,64.4851340128177,63.0575616911798,1.43,-48.36204998070095,36.02693602693603,1.3254016630664989,297,164485.13
atr,ATR-trail,3y,2023-06-13,2026-06-11,66.65035056482418,145.33576255338016,-78.69,-44.53045251397928,38.82352941176471,1.400609914251129,85,166650.35
hybrid,8/21-EMA hibrit,3y,2023-06-13,2026-06-11,85.12980690338398,145.33576255338016,-60.21,-39.91132810497145,36.04651162790697,1.5429537993719118,172,185129.81
split,½hibrit+½ATR,3y,2023-06-13,2026-06-11,44.684133627356545,145.33576255338016,-100.65,-48.3620499807009,37.60683760683761,1.32180238272235,234,144684.13
atr,ATR-trail,2y,2024-06-12,2026-06-11,29.402859697849326,-6.7942117066406515,36.2,-36.096190427812324,39.53488372093023,1.4362839034592452,43,129402.86
hybrid,8/21-EMA hibrit,2y,2024-06-12,2026-06-11,35.770425964593564,-6.7942117066406515,42.56,-34.477356725897494,34.883720930232556,1.6623106623064412,86,135770.43
split,½hibrit+½ATR,2y,2024-06-12,2026-06-11,10.82247188623564,-6.7942117066406515,17.62,-32.29204438625188,35.833333333333336,1.2152989773825233,120,110822.47
atr,ATR-trail,1y,2025-06-12,2026-06-11,46.8836322713887,-39.789014526401715,86.67,-16.27012177406677,52.63157894736842,3.397319121928263,19,146883.63
hybrid,8/21-EMA hibrit,1y,2025-06-12,2026-06-11,52.254953727974836,-39.789014526401715,92.04,-19.883677908203655,44.73684210526316,3.6557716422713216,38,152254.95
split,½hibrit+½ATR,1y,2025-06-12,2026-06-11,31.819091306486346,-39.789014526401715,71.61,-13.262505956139226,44.44444444444444,2.5875722342690994,54,131819.09
atr,ATR-trail,6mo,2025-12-12,2026-06-11,0.0,-29.514674124128902,29.51,0.0,0.0,inf,0,100000.0
hybrid,8/21-EMA hibrit,6mo,2025-12-12,2026-06-11,0.0,-29.514674124128902,29.51,0.0,0.0,inf,0,100000.0
split,½hibrit+½ATR,6mo,2025-12-12,2026-06-11,0.0,-29.514674124128902,29.51,0.0,0.0,inf,0,100000.0
