symbol,sector,score,entry_date,exit_date,entry,exit,shares,pnl,pnl_pct,outcome
XRPUSDT,—,16,2025-07-16,2025-07-28,3.04043,3.118815,6656.317888,480.75,2.58,ATR
BTCUSDT,—,53,2025-07-09,2025-07-31,111322.977192,115590.43388,0.179478,725.19,3.83,ATR
BNBUSDT,—,48,2025-07-22,2025-07-31,787.309344,781.96529,26.402386,-182.53,-0.68,ATR
BCHUSDT,—,43,2025-07-20,2025-08-02,548.4384,519.4197,37.807506,-1137.5,-5.29,ATR
ETHUSDT,—,70,2025-08-08,2025-08-19,4012.7076,4069.476615,4.969558,241.95,1.41,ATR
BCHUSDT,—,51,2025-08-12,2025-08-19,619.29504,547.67725,33.463522,-2435.63,-11.56,ATR
TRXUSDT,—,39,2025-07-29,2025-08-25,0.338771,0.341187,60555.303412,105.17,0.71,ATR
PENDLEUSDT,—,16,2025-08-09,2025-08-27,5.675537,5.09235,3550.694392,-2108.95,-10.28,ATR
ETHUSDT,—,76,2025-08-22,2025-09-01,4835.935656,4308.02825,4.134856,-2220.63,-10.92,ATR
BNBUSDT,—,64,2025-08-22,2025-09-22,900.930168,991.41065,22.186746,1965.48,10.04,ATR
SOLUSDT,—,52,2025-09-10,2025-09-22,224.249256,220.04943,83.948791,-389.87,-1.87,ATR
ZECUSDT,—,47,2025-09-29,2025-10-07,72.117648,127.06911,268.944551,14725.33,76.2,ATR
BTCUSDT,—,45,2025-10-01,2025-10-10,118689.865992,112605.33825,0.185606,-1172.25,-5.13,ATR
BNBUSDT,—,71,2025-10-02,2025-10-10,1091.092176,1100.816295,20.767788,156.43,0.89,ATR
CAKEUSDT,—,51,2025-10-07,2025-10-10,4.371494,2.846724,5370.244166,-8227.16,-34.88,ATR
PAXGUSDT,—,50,2025-08-29,2025-10-16,3464.609472,4430.094875,5.353069,5126.05,27.87,ATR
PAXGUSDT,—,63,2025-10-16,2025-10-21,4440.2994,4092.162535,4.716338,-1682.17,-7.84,ATR
DASHUSDT,—,57,2025-11-01,2025-11-05,73.768968,104.073655,338.90225,10210.06,41.08,ATR
ZECUSDT,—,60,2025-10-09,2025-11-10,212.740056,521.346805,106.225489,32703.92,145.06,ATR
