symbol,sector,score,entry_date,exit_date,entry,exit,shares,pnl,pnl_pct,outcome
BTCUSDT,—,35,2023-06-21,2023-07-05,30017.885112,30489.557595,0.332802,136.84,1.57,PARTIAL
XLMUSDT,—,14,2023-06-30,2023-07-05,0.110789,0.10055,112639.27138,-1177.1,-9.24,PARTIAL
LTCUSDT,—,27,2023-06-30,2023-07-06,108.78696,95.202375,114.753006,-1582.28,-12.49,PARTIAL
XLMUSDT,—,14,2023-06-30,2023-07-06,0.110789,0.095856,112639.27138,-1705.27,-13.48,EMA21
BCHUSDT,—,9,2023-06-21,2023-07-09,136.00872,265.4672,73.42484,9475.99,95.18,PARTIAL
LTCUSDT,—,27,2023-06-30,2023-07-14,108.78696,94.987305,114.753006,-1606.94,-12.69,EMA21
BCHUSDT,—,9,2023-06-21,2023-07-16,136.00872,249.52515,73.42484,8306.62,83.46,EMA21
BTCUSDT,—,35,2023-06-21,2023-07-17,30017.885112,30092.793,0.332802,4.92,0.25,EMA21
XRPUSDT,—,45,2023-07-13,2023-07-22,0.815952,0.732733,14070.374163,-1192.71,-10.2,PARTIAL
INJUSDT,—,46,2023-07-14,2023-07-22,9.453557,8.611692,1132.919362,-974.23,-8.91,PARTIAL
XLMUSDT,—,44,2023-07-13,2023-07-24,0.155324,0.145527,73888.220872,-746.11,-6.31,PARTIAL
INJUSDT,—,46,2023-07-14,2023-07-24,9.453557,8.143766,1132.919362,-1503.82,-13.86,EMA21
LINKUSDT,—,16,2023-07-20,2023-07-25,8.367689,7.388304,1337.04347,-1330.55,-11.7,PARTIAL
XRPUSDT,—,45,2023-07-13,2023-08-02,0.815952,0.683973,14070.374163,-1878.11,-16.17,EMA21
LINKUSDT,—,16,2023-07-20,2023-08-02,8.367689,7.339974,1337.04347,-1395.1,-12.28,EMA21
XLMUSDT,—,44,2023-07-13,2023-08-03,0.155324,0.138792,73888.220872,-1243.3,-10.64,EMA21
LINKUSDT,—,42,2023-10-21,2023-11-13,8.921131,14.350821,1137.606423,6150.38,60.86,PARTIAL
INJUSDT,—,23,2023-10-22,2023-11-13,9.235382,15.402295,1127.491625,6925.36,66.77,PARTIAL
BTCUSDT,—,28,2023-10-23,2023-11-14,33096.445992,35533.414405,0.335065,793.55,7.36,PARTIAL
DYDXUSDT,—,45,2023-11-15,2023-11-18,3.985186,3.231384,3951.512664,-3007.17,-18.92,PARTIAL
SOLUSDT,—,24,2023-10-21,2023-11-20,29.343456,56.541715,345.735947,9373.72,92.69,PARTIAL
LINKUSDT,—,42,2023-10-21,2023-11-21,8.921131,13.338962,1137.606423,5000.43,49.52,EMA21
INJUSDT,—,23,2023-10-22,2023-11-21,9.235382,14.180697,1127.491625,5549.4,53.55,EMA21
BTCUSDT,—,28,2023-10-23,2023-11-21,33096.445992,35688.037525,0.335065,845.3,7.83,EMA21
LDOUSDT,—,33,2023-11-22,2023-11-27,2.617092,2.362818,5375.209261,-1393.54,-9.72,PARTIAL
LDOUSDT,—,33,2023-11-22,2023-11-29,2.617092,2.257609,5375.209261,-1958.5,-13.74,EMA21
DYDXUSDT,—,45,2023-11-15,2023-12-01,3.985186,3.08237,3951.512664,-3595.42,-22.65,EMA21
LUNCUSDT,—,52,2023-12-03,2023-12-09,0.000197,0.000179,70234990.723891,-1297.52,-9.17,PARTIAL
BTCUSDT,—,50,2023-12-01,2023-12-11,38713.466016,41232.7733,0.352947,860.97,6.51,PARTIAL
NEARUSDT,—,42,2023-12-05,2023-12-11,2.258806,2.23888,6407.757169,-156.5,-0.88,PARTIAL
LUNCUSDT,—,52,2023-12-03,2023-12-17,0.000197,0.000162,70234990.723891,-2531.25,-18.08,EMA21
ADAUSDT,—,26,2023-12-05,2023-12-17,0.426041,0.58011,33960.790579,5198.14,36.16,PARTIAL
INJUSDT,—,62,2023-12-18,2023-12-26,36.910505,38.774603,409.90464,733.08,5.05,PARTIAL
BTCUSDT,—,50,2023-12-01,2023-12-29,38713.466016,42003.849575,0.352947,1132.84,8.5,EMA21
ADAUSDT,—,26,2023-12-05,2024-01-03,0.426041,0.556065,33960.790579,4382.37,30.52,EMA21
INJUSDT,—,62,2023-12-18,2024-01-03,36.910505,34.117746,409.90464,-1173.88,-7.57,EMA21
SOLUSDT,—,24,2023-10-21,2024-01-06,29.343456,93.629345,345.735947,22183.43,219.08,EMA21
