symbol,sector,score,entry_date,exit_date,entry,exit,shares,pnl,pnl_pct,outcome
BTCUSDT,—,53,2025-07-09,2025-07-20,111322.977192,117089.22232,0.044869,248.48,5.18,A:EMA8
XRPUSDT,—,16,2025-07-16,2025-07-23,3.04043,3.179024,1664.079472,220.28,4.56,A:EMA8
BCHUSDT,—,43,2025-07-20,2025-07-23,548.4384,511.4317,9.450679,-359.75,-6.75,A:EMA8
XRPUSDT,—,16,2025-07-16,2025-07-28,3.04043,3.118815,3328.158944,240.38,2.58,B:ATR2.5x
BNBUSDT,—,48,2025-07-22,2025-07-30,787.309344,792.319735,6.592114,22.62,0.64,A:EMA8
BTCUSDT,—,53,2025-07-09,2025-07-31,111322.977192,115590.43388,0.044869,181.3,3.83,A:EMA21
BTCUSDT,—,53,2025-07-09,2025-07-31,111322.977192,115590.43388,0.089739,362.59,3.83,B:ATR2.5x
XRPUSDT,—,16,2025-07-16,2025-07-31,3.04043,3.017866,1664.079472,-47.63,-0.74,A:EMA21
BNBUSDT,—,48,2025-07-22,2025-07-31,787.309344,781.96529,13.184228,-91.15,-0.68,B:ATR2.5x
BCHUSDT,—,43,2025-07-20,2025-08-01,548.4384,535.3957,9.450679,-133.51,-2.38,A:EMA21
BNBUSDT,—,48,2025-07-22,2025-08-01,787.309344,755.94438,6.592114,-216.93,-3.98,A:EMA21
TRXUSDT,—,39,2025-07-29,2025-08-01,0.338771,0.322915,15075.789927,-249.02,-4.68,A:EMA8
BCHUSDT,—,43,2025-07-20,2025-08-02,548.4384,519.4197,18.901358,-568.68,-5.29,B:ATR2.5x
LTCUSDT,—,41,2025-08-12,2025-08-14,130.564368,121.108065,39.480141,-383.27,-7.24,A:EMA8
PENDLEUSDT,—,16,2025-08-09,2025-08-15,5.675537,5.278071,885.736263,-361.75,-7.0,A:EMA8
BCHUSDT,—,51,2025-08-12,2025-08-16,619.29504,586.41905,8.326489,-283.78,-5.31,A:EMA8
ETHUSDT,—,70,2025-08-08,2025-08-18,4012.7076,4306.520515,1.239192,353.78,7.32,A:EMA8
BCHUSDT,—,51,2025-08-12,2025-08-18,619.29504,567.9468,8.326489,-437.44,-8.29,A:EMA21
LTCUSDT,—,41,2025-08-12,2025-08-18,130.564368,117.593345,39.480141,-521.9,-9.93,A:EMA21
ETHUSDT,—,70,2025-08-08,2025-08-19,4012.7076,4069.476615,1.239192,60.33,1.41,A:EMA21
ETHUSDT,—,70,2025-08-08,2025-08-19,4012.7076,4069.476615,2.478384,120.66,1.41,B:ATR2.5x
BCHUSDT,—,51,2025-08-12,2025-08-19,619.29504,547.67725,16.652979,-1212.08,-11.56,B:ATR2.5x
LTCUSDT,—,41,2025-08-12,2025-08-19,130.564368,112.500995,78.960283,-1445.48,-13.83,B:ATR2.5x
TRXUSDT,—,39,2025-07-29,2025-08-25,0.338771,0.341187,15075.789927,26.18,0.71,A:EMA21
TRXUSDT,—,39,2025-07-29,2025-08-25,0.338771,0.341187,30151.579854,52.36,0.71,B:ATR2.5x
PENDLEUSDT,—,16,2025-08-09,2025-08-25,5.675537,5.135286,885.736263,-488.1,-9.52,A:EMA21
ETHUSDT,—,76,2025-08-22,2025-08-25,4835.935656,4369.61573,1.00482,-477.82,-9.64,A:EMA8
BNBUSDT,—,64,2025-08-22,2025-08-25,900.930168,838.06102,5.391648,-348.34,-6.98,A:EMA8
PENDLEUSDT,—,16,2025-08-09,2025-08-27,5.675537,5.09235,1771.472526,-1052.17,-10.28,B:ATR2.5x
ETHUSDT,—,76,2025-08-22,2025-08-29,4835.935656,4353.63973,1.00482,-493.85,-9.97,A:EMA21
ETHUSDT,—,76,2025-08-22,2025-09-01,4835.935656,4308.02825,2.00964,-1079.28,-10.92,B:ATR2.5x
BNBUSDT,—,64,2025-08-22,2025-09-01,900.930168,844.41148,5.391648,-314.14,-6.27,A:EMA21
PAXGUSDT,—,50,2025-08-29,2025-09-18,3464.609472,3639.77214,1.313569,220.76,5.06,A:EMA8
SOLUSDT,—,52,2025-09-10,2025-09-21,224.249256,235.80576,20.526074,227.77,5.15,A:EMA8
BNBUSDT,—,64,2025-08-22,2025-09-22,900.930168,991.41065,10.783296,955.27,10.04,B:ATR2.5x
SOLUSDT,—,52,2025-09-10,2025-09-22,224.249256,220.04943,20.526074,-95.33,-1.87,A:EMA21
SOLUSDT,—,52,2025-09-10,2025-09-22,224.249256,220.04943,41.052148,-190.65,-1.87,B:ATR2.5x
ZECUSDT,—,47,2025-09-29,2025-10-07,72.117648,127.06911,65.062156,3562.3,76.2,A:EMA8
ZECUSDT,—,47,2025-09-29,2025-10-07,72.117648,127.06911,130.124311,7124.6,76.2,B:ATR2.5x
BTCUSDT,—,45,2025-10-01,2025-10-10,118689.865992,112605.33825,0.044889,-283.51,-5.13,A:EMA8
BTCUSDT,—,45,2025-10-01,2025-10-10,118689.865992,112605.33825,0.044889,-283.51,-5.13,A:EMA21
BTCUSDT,—,45,2025-10-01,2025-10-10,118689.865992,112605.33825,0.089779,-567.03,-5.13,B:ATR2.5x
BNBUSDT,—,71,2025-10-02,2025-10-10,1091.092176,1100.816295,5.023063,37.83,0.89,A:EMA8
BNBUSDT,—,71,2025-10-02,2025-10-10,1091.092176,1100.816295,5.023063,37.83,0.89,A:EMA21
BNBUSDT,—,71,2025-10-02,2025-10-10,1091.092176,1100.816295,10.046126,75.67,0.89,B:ATR2.5x
CAKEUSDT,—,51,2025-10-07,2025-10-10,4.371494,2.846724,1297.20645,-1987.31,-34.88,A:EMA8
CAKEUSDT,—,51,2025-10-07,2025-10-10,4.371494,2.846724,1297.20645,-1987.31,-34.88,A:EMA21
CAKEUSDT,—,51,2025-10-07,2025-10-10,4.371494,2.846724,2594.4129,-3974.61,-34.88,B:ATR2.5x
PAXGUSDT,—,50,2025-08-29,2025-10-16,3464.609472,4430.094875,2.627138,2515.72,27.87,B:ATR2.5x
PAXGUSDT,—,50,2025-08-29,2025-10-22,3464.609472,4085.64233,1.313569,805.85,17.93,A:EMA21
DASHUSDT,—,57,2025-11-01,2025-11-05,73.768968,104.073655,162.012547,4880.93,41.08,B:ATR2.5x
DASHUSDT,—,57,2025-11-01,2025-11-08,73.768968,81.41769,81.006273,607.02,10.37,A:EMA8
DASHUSDT,—,57,2025-11-01,2025-11-10,73.768968,72.59095,81.006273,-107.28,-1.6,A:EMA21
ZECUSDT,—,47,2025-09-29,2025-11-22,72.117648,517.223,65.062156,28921.17,617.19,A:EMA21
