exit_key,exit_label,lock,period,start,end,roi_pct,bench_roi_pct,alpha_pct,max_dd_pct,win_rate_pct,profit_factor,trades,funding_bps_daily
atr_cover,ATR-cover (dip+2.5×ATR),kilitsiz,5y,2021-06-13,2026-06-11,-42.73,63.06,-105.79,-67.98,34.8,0.668,89,3.0
atr_cover,ATR-cover (dip+2.5×ATR),kilit 2.5,5y,2021-06-13,2026-06-11,-10.66,63.06,-73.72,-17.32,11.1,0.331,9,3.0
hybrid,8/21-EMA hibrit kapatma,kilitsiz,5y,2021-06-13,2026-06-11,-18.61,63.06,-81.67,-60.1,35.1,0.844,211,3.0
hybrid,8/21-EMA hibrit kapatma,kilit 2.5,5y,2021-06-13,2026-06-11,-5.13,63.06,-68.19,-12.17,11.1,0.519,18,3.0
atr_cover,ATR-cover (dip+2.5×ATR),kilitsiz,3y,2023-06-13,2026-06-11,-29.8,145.34,-175.14,-48.23,34.0,0.561,53,3.0
atr_cover,ATR-cover (dip+2.5×ATR),kilit 2.5,3y,2023-06-13,2026-06-11,1.33,145.34,-144.01,-6.65,20.0,1.286,5,3.0
hybrid,8/21-EMA hibrit kapatma,kilitsiz,3y,2023-06-13,2026-06-11,-10.77,145.34,-156.11,-41.68,34.4,0.821,125,3.0
hybrid,8/21-EMA hibrit kapatma,kilit 2.5,3y,2023-06-13,2026-06-11,4.3,145.34,-141.03,-3.79,20.0,3.394,10,3.0
atr_cover,ATR-cover (dip+2.5×ATR),kilitsiz,2y,2024-06-12,2026-06-11,-24.32,-6.79,-17.53,-40.81,36.4,0.619,44,3.0
atr_cover,ATR-cover (dip+2.5×ATR),kilit 2.5,2y,2024-06-12,2026-06-11,6.26,-6.79,13.05,-2.36,100.0,,1,3.0
hybrid,8/21-EMA hibrit kapatma,kilitsiz,2y,2024-06-12,2026-06-11,-7.06,-6.79,-0.26,-39.43,36.9,0.876,103,3.0
hybrid,8/21-EMA hibrit kapatma,kilit 2.5,2y,2024-06-12,2026-06-11,6.21,-6.79,13.01,-1.68,100.0,,2,3.0
atr_cover,ATR-cover (dip+2.5×ATR),kilitsiz,1y,2025-06-12,2026-06-11,10.56,-39.79,50.35,-29.91,48.0,1.26,25,3.0
atr_cover,ATR-cover (dip+2.5×ATR),kilit 2.5,1y,2025-06-12,2026-06-11,6.26,-39.79,46.05,-2.36,100.0,,1,3.0
hybrid,8/21-EMA hibrit kapatma,kilitsiz,1y,2025-06-12,2026-06-11,37.28,-39.79,77.07,-14.16,52.5,2.29,61,3.0
hybrid,8/21-EMA hibrit kapatma,kilit 2.5,1y,2025-06-12,2026-06-11,6.21,-39.79,46.0,-1.68,100.0,,2,3.0
atr_cover,ATR-cover (dip+2.5×ATR),kilitsiz,6mo,2025-12-12,2026-06-11,-0.99,-29.51,28.52,-29.91,36.0,0.976,25,3.0
atr_cover,ATR-cover (dip+2.5×ATR),kilit 2.5,6mo,2025-12-12,2026-06-11,6.26,-29.51,35.77,-2.36,100.0,,1,3.0
hybrid,8/21-EMA hibrit kapatma,kilitsiz,6mo,2025-12-12,2026-06-11,32.07,-29.51,61.59,-14.23,50.8,2.171,59,3.0
hybrid,8/21-EMA hibrit kapatma,kilit 2.5,6mo,2025-12-12,2026-06-11,6.21,-29.51,35.73,-1.68,100.0,,2,3.0
