symbol,sector,score,entry_date,exit_date,entry,exit,shares,pnl,pnl_pct,outcome
XOM,XLE,59,2026-01-02,2026-01-06,122.75,120.99,40.7114,-73.1,-1.43,PARTIAL
NUE,—,71,2026-01-02,2026-01-07,169.54,164.73,29.4841,-143.26,-2.84,PARTIAL
XOM,XLE,59,2026-01-02,2026-01-07,122.75,118.31,40.7114,-182.09,-3.61,EMA21
EIX,—,44,2026-01-02,2026-01-07,60.98,58.43,81.936,-210.27,-4.18,PARTIAL
EIX,—,44,2026-01-02,2026-01-07,60.98,58.37,81.936,-215.06,-4.27,EMA21
GE,XLI,56,2026-01-02,2026-01-08,321.01,314.28,15.566,-106.16,-2.09,PARTIAL
NUE,—,71,2026-01-02,2026-01-09,169.54,163.52,29.4841,-178.73,-3.55,EMA21
ILMN,—,83,2026-01-07,2026-01-09,150.26,141.0,33.9148,-315.57,-6.16,PARTIAL
REGN,—,81,2026-01-07,2026-01-12,812.92,767.62,6.2682,-285.48,-5.57,PARTIAL
REGN,—,81,2026-01-07,2026-01-12,812.92,766.85,6.2682,-290.29,-5.67,EMA21
TER,—,83,2026-01-02,2026-01-20,207.73,223.87,24.0678,387.0,7.77,PARTIAL
GE,XLI,56,2026-01-02,2026-01-20,321.01,311.87,15.566,-143.7,-2.85,EMA21
DLTR,—,83,2026-01-06,2026-01-20,133.89,133.99,38.6829,2.6,0.08,PARTIAL
DG,—,76,2026-01-12,2026-01-20,148.98,146.56,34.6174,-85.36,-1.63,PARTIAL
DLTR,—,83,2026-01-06,2026-01-22,133.89,126.6,38.6829,-283.39,-5.44,EMA21
LRCX,SMH,66,2026-01-02,2026-01-23,185.21,217.83,26.9867,878.89,17.61,PARTIAL
ULTA,—,60,2026-01-02,2026-01-26,620.54,661.01,8.0538,324.47,6.52,PARTIAL
CMI,—,74,2026-01-09,2026-01-26,552.53,569.68,9.2426,156.95,3.1,PARTIAL
BA,XLI,39,2026-01-02,2026-01-27,227.95,244.44,21.9165,359.8,7.23,PARTIAL
ULTA,—,60,2026-01-02,2026-01-28,620.54,637.25,8.0538,133.13,2.69,EMA21
BA,XLI,39,2026-01-02,2026-01-29,227.95,233.69,21.9165,124.23,2.52,EMA21
DG,—,76,2026-01-12,2026-01-29,148.98,141.57,34.6174,-258.08,-4.98,EMA21
SLB,XLE,69,2026-01-22,2026-01-29,49.36,48.43,107.0386,-101.44,-1.89,PARTIAL
ILMN,—,83,2026-01-07,2026-01-30,150.26,144.59,33.9148,-193.71,-3.77,EMA21
NEM,—,71,2026-01-20,2026-01-30,119.04,112.29,43.6765,-295.94,-5.66,PARTIAL
NEM,—,71,2026-01-20,2026-01-30,119.04,112.18,43.6765,-300.84,-5.76,EMA21
FCX,—,79,2026-01-28,2026-01-30,63.68,60.2,84.3309,-295.06,-5.47,PARTIAL
MU,SMH,75,2026-01-02,2026-02-04,315.67,379.21,15.8362,1004.7,20.13,PARTIAL
LRCX,SMH,66,2026-01-02,2026-02-04,185.21,209.47,26.9867,653.12,13.1,EMA21
CMI,—,74,2026-01-09,2026-02-05,552.53,539.84,9.2426,-118.81,-2.3,EMA21
FCX,—,79,2026-01-28,2026-02-05,63.68,59.13,84.3309,-385.18,-7.14,EMA21
MU,SMH,75,2026-01-02,2026-02-10,315.67,372.69,15.8362,901.45,18.06,EMA21
