symbol,sector,score,entry_date,exit_date,entry,exit,shares,pnl,pnl_pct,outcome
XOM,XLE,59,2026-01-02,2026-01-06,122.75,120.99,4.0693,-8.66,-1.43,PARTIAL
NUE,—,71,2026-01-02,2026-01-07,169.54,164.73,2.9463,-15.67,-2.84,PARTIAL
XOM,XLE,59,2026-01-02,2026-01-07,122.75,118.31,4.0693,-19.55,-3.61,EMA21
EIX,—,44,2026-01-02,2026-01-07,60.98,58.43,8.1914,-22.37,-4.18,PARTIAL
EIX,—,44,2026-01-02,2026-01-07,60.98,58.37,8.1914,-22.85,-4.27,EMA21
WFC,XLF,66,2026-01-05,2026-01-07,96.46,94.24,5.1785,-12.97,-2.3,PARTIAL
GE,XLI,56,2026-01-02,2026-01-08,321.01,314.28,1.556,-11.96,-2.09,PARTIAL
NUE,—,71,2026-01-02,2026-01-09,169.54,163.52,2.9463,-19.21,-3.55,EMA21
ILMN,—,68,2026-01-05,2026-01-09,141.44,141.0,3.5315,-3.07,-0.31,PARTIAL
C,XLF,70,2026-01-05,2026-01-12,123.4,117.64,4.0479,-24.81,-4.67,PARTIAL
SYF,—,68,2026-01-05,2026-01-12,86.81,79.59,5.754,-43.04,-8.32,PARTIAL
SYF,—,68,2026-01-05,2026-01-12,86.81,79.51,5.754,-43.5,-8.41,EMA21
USB,—,65,2026-01-05,2026-01-12,55.53,54.36,8.9944,-12.04,-2.11,PARTIAL
REGN,—,81,2026-01-07,2026-01-12,812.92,767.62,0.6145,-29.34,-5.57,PARTIAL
REGN,—,81,2026-01-07,2026-01-12,812.92,766.85,0.6145,-29.81,-5.67,EMA21
C,XLF,70,2026-01-05,2026-01-13,123.4,116.13,4.0479,-30.94,-5.89,EMA21
WFC,XLF,66,2026-01-05,2026-01-13,96.46,93.42,5.1785,-17.23,-3.15,EMA21
MS,XLF,66,2026-01-05,2026-01-13,186.69,182.67,2.6756,-12.26,-2.15,PARTIAL
BIIB,—,68,2026-01-07,2026-01-13,187.06,178.21,2.6703,-25.13,-4.73,PARTIAL
BIIB,—,68,2026-01-07,2026-01-13,187.06,178.03,2.6703,-25.6,-4.83,EMA21
DD,—,74,2026-01-05,2026-01-14,42.04,42.87,11.8805,8.3,1.96,PARTIAL
MS,XLF,66,2026-01-05,2026-01-14,186.69,180.51,2.6756,-18.04,-3.31,EMA21
USB,—,65,2026-01-05,2026-01-14,55.53,53.42,8.9944,-20.52,-3.81,EMA21
FDX,—,71,2026-01-05,2026-01-16,297.7,308.03,1.6779,15.83,3.47,PARTIAL
TER,—,83,2026-01-02,2026-01-20,207.73,223.87,2.4046,37.32,7.77,PARTIAL
GE,XLI,56,2026-01-02,2026-01-20,321.01,311.87,1.556,-15.71,-2.85,EMA21
ROST,—,70,2026-01-05,2026-01-20,186.83,189.6,2.6736,5.89,1.48,PARTIAL
VTRS,—,72,2026-01-09,2026-01-20,12.77,12.65,39.1145,-6.06,-0.91,PARTIAL
DLTR,—,78,2026-01-12,2026-01-20,137.35,133.99,3.6367,-13.71,-2.44,PARTIAL
DG,—,76,2026-01-12,2026-01-20,148.98,146.56,3.3528,-9.62,-1.63,PARTIAL
PH,—,73,2026-01-13,2026-01-20,939.1,929.03,0.5319,-6.86,-1.07,PARTIAL
GOOG,XLC,71,2026-01-13,2026-01-20,336.7,322.0,1.4835,-23.31,-4.37,PARTIAL
GOOG,XLC,71,2026-01-13,2026-01-20,336.7,321.68,1.4835,-23.79,-4.46,EMA21
GOOGL,XLC,71,2026-01-13,2026-01-20,336.24,321.84,1.4856,-22.89,-4.28,PARTIAL
HAL,—,73,2026-01-14,2026-01-20,33.07,32.04,15.106,-16.95,-3.09,PARTIAL
ROST,—,70,2026-01-05,2026-01-22,186.83,186.73,2.6736,-1.77,-0.05,EMA21
DLTR,—,78,2026-01-12,2026-01-22,137.35,126.6,3.6367,-40.59,-7.83,EMA21
FCX,—,74,2026-01-14,2026-01-22,60.4,58.82,8.2701,-14.55,-2.61,PARTIAL
LRCX,SMH,66,2026-01-02,2026-01-23,185.21,217.83,2.697,86.48,17.61,PARTIAL
ULTA,—,60,2026-01-02,2026-01-26,620.54,661.01,0.8049,31.08,6.52,PARTIAL
CMI,—,69,2026-01-05,2026-01-26,532.13,569.68,0.9387,33.75,7.06,PARTIAL
BA,XLI,39,2026-01-02,2026-01-27,227.95,244.44,2.1912,34.62,7.23,PARTIAL
ULTA,—,60,2026-01-02,2026-01-28,620.54,637.25,0.8049,11.96,2.69,EMA21
PH,—,73,2026-01-13,2026-01-28,939.1,914.9,0.5319,-14.37,-2.58,EMA21
AMGN,XLV,65,2026-01-22,2026-01-28,347.35,342.05,1.438,-9.12,-1.53,PARTIAL
BA,XLI,39,2026-01-02,2026-01-29,227.95,233.69,2.1912,11.07,2.52,EMA21
DG,—,76,2026-01-12,2026-01-29,148.98,141.57,3.3528,-26.35,-4.98,EMA21
MNST,—,66,2026-01-20,2026-01-29,81.54,80.0,6.1262,-10.9,-1.88,PARTIAL
SLB,XLE,69,2026-01-22,2026-01-29,49.36,48.43,10.1196,-10.95,-1.89,PARTIAL
ILMN,—,68,2026-01-05,2026-01-30,141.44,144.59,3.5315,9.62,2.23,EMA21
AMAT,SMH,67,2026-01-05,2026-01-30,284.55,322.16,1.7554,64.52,13.22,PARTIAL
NEM,—,71,2026-01-20,2026-01-30,119.04,112.29,4.1962,-29.79,-5.66,PARTIAL
NEM,—,71,2026-01-20,2026-01-30,119.04,112.18,4.1962,-30.26,-5.76,EMA21
MU,SMH,75,2026-01-02,2026-02-04,315.67,379.21,1.5823,99.04,20.13,PARTIAL
LRCX,SMH,66,2026-01-02,2026-02-04,185.21,209.47,2.697,63.92,13.1,EMA21
AMAT,SMH,67,2026-01-05,2026-02-04,284.55,297.15,1.7554,20.63,4.43,EMA21
MFC,—,68,2026-01-29,2026-02-04,38.58,37.46,12.9468,-16.0,-2.9,PARTIAL
CMI,—,69,2026-01-05,2026-02-05,532.13,539.84,0.9387,5.74,1.45,EMA21
FCX,—,74,2026-01-14,2026-02-05,60.4,59.13,8.2701,-11.98,-2.1,EMA21
GOOGL,XLC,71,2026-01-13,2026-02-06,336.24,322.38,1.4856,-22.09,-4.12,EMA21
MU,SMH,75,2026-01-02,2026-02-10,315.67,372.69,1.5823,88.72,18.06,EMA21
MNST,—,66,2026-01-20,2026-02-10,81.54,80.05,6.1262,-10.6,-1.82,EMA21
KO,XLP,61,2026-01-30,2026-02-10,74.87,76.77,6.6716,11.19,2.54,PARTIAL
LUV,—,83,2026-01-29,2026-02-11,48.54,51.4,10.2907,27.99,5.9,PARTIAL
KEY,—,72,2026-02-04,2026-02-11,22.67,22.53,22.0354,-4.57,-0.61,PARTIAL
PNC,—,71,2026-02-04,2026-02-11,237.44,235.36,2.1037,-5.87,-0.87,PARTIAL
MFC,—,68,2026-01-29,2026-02-12,38.58,35.76,12.9468,-38.07,-7.32,EMA21
KEY,—,72,2026-02-04,2026-02-12,22.67,21.73,22.0354,-22.23,-4.15,EMA21
NUE,—,74,2026-02-06,2026-02-12,192.99,188.72,2.5882,-12.57,-2.22,PARTIAL
XOM,XLE,70,2026-02-10,2026-02-13,151.71,148.38,3.2924,-12.48,-2.2,PARTIAL
CVX,XLE,62,2026-01-30,2026-02-17,177.04,180.46,2.8214,8.14,1.93,PARTIAL
HSY,—,65,2026-02-05,2026-02-17,224.56,219.29,2.2244,-13.22,-2.35,PARTIAL
WMT,XLP,71,2026-02-12,2026-02-17,133.75,128.79,3.7347,-20.03,-3.71,PARTIAL
PM,XLP,65,2026-02-12,2026-02-17,189.1,183.56,2.6414,-16.14,-2.93,PARTIAL
NUE,—,74,2026-02-06,2026-02-19,192.99,179.77,2.5882,-35.73,-6.85,EMA21
PPG,—,71,2026-02-10,2026-02-19,129.24,124.19,3.8648,-21.04,-3.91,PARTIAL
WMT,XLP,71,2026-02-12,2026-02-19,133.75,124.68,3.7347,-35.35,-6.78,EMA21
JNJ,XLV,66,2026-01-28,2026-02-20,227.9,242.37,2.1917,30.21,6.35,PARTIAL
PNC,—,71,2026-02-04,2026-02-23,237.44,220.44,2.1037,-37.26,-7.16,EMA21
LUV,—,83,2026-01-29,2026-02-25,48.54,49.82,10.2907,11.63,2.63,EMA21
PPG,—,71,2026-02-10,2026-02-25,129.24,122.94,3.8648,-25.88,-4.88,EMA21
LMT,XLI,78,2026-02-19,2026-02-25,667.04,647.18,0.7488,-16.38,-2.98,PARTIAL
NOC,—,68,2026-02-19,2026-02-25,737.46,703.3,0.6773,-24.64,-4.63,PARTIAL
VTRS,—,72,2026-01-09,2026-02-27,12.77,14.91,39.1145,82.1,16.74,EMA21
DD,—,74,2026-01-05,2026-03-03,42.04,48.2,11.8805,71.61,14.64,EMA21
SLB,XLE,69,2026-01-22,2026-03-03,49.36,48.51,10.1196,-10.13,-1.73,EMA21
ADI,SMH,76,2026-01-28,2026-03-03,317.88,338.82,1.5713,31.4,6.59,PARTIAL
TPR,—,71,2026-02-05,2026-03-03,143.3,154.34,3.4856,36.97,7.7,PARTIAL
PM,XLP,65,2026-02-12,2026-03-03,189.1,177.66,2.6414,-31.71,-6.05,EMA21
GLW,—,71,2026-02-23,2026-03-03,145.37,147.5,3.4361,5.82,1.47,PARTIAL
AMAT,SMH,79,2026-02-25,2026-03-03,395.27,351.14,1.2637,-57.26,-11.16,PARTIAL
AMAT,SMH,79,2026-02-25,2026-03-03,395.27,350.79,1.2637,-57.7,-11.25,EMA21
HAL,—,73,2026-01-14,2026-03-04,33.07,34.38,15.106,18.32,3.97,EMA21
KO,XLP,61,2026-01-30,2026-03-04,74.87,77.98,6.6716,19.27,4.16,EMA21
AMGN,XLV,65,2026-01-22,2026-03-05,347.35,367.05,1.438,26.83,5.67,EMA21
ADI,SMH,76,2026-01-28,2026-03-05,317.88,329.23,1.5713,16.32,3.57,EMA21
JNJ,XLV,66,2026-01-28,2026-03-05,227.9,239.27,2.1917,23.42,4.99,EMA21
TPR,—,71,2026-02-05,2026-03-05,143.3,149.38,3.4856,19.66,4.24,EMA21
GLW,—,71,2026-02-23,2026-03-05,145.37,134.54,3.4361,-38.71,-7.45,EMA21
MCK,—,71,2026-03-03,2026-03-05,996.49,930.88,0.5013,-34.38,-6.58,PARTIAL
MCK,—,71,2026-03-03,2026-03-05,996.49,929.95,0.5013,-34.85,-6.68,EMA21
TER,—,83,2026-01-02,2026-03-06,207.73,272.64,2.4046,154.59,31.25,EMA21
FDX,—,71,2026-01-05,2026-03-06,297.7,358.56,1.6779,100.62,20.44,EMA21
WMB,—,69,2026-02-25,2026-03-06,74.03,74.2,6.7473,-0.33,0.23,PARTIAL
HSY,—,65,2026-02-05,2026-03-09,224.56,222.45,2.2244,-6.2,-0.94,EMA21
TRGP,—,73,2026-02-27,2026-03-09,235.99,234.62,2.1166,-4.39,-0.58,PARTIAL
VZ,XLC,73,2026-03-03,2026-03-09,50.91,50.42,9.8113,-6.27,-0.95,PARTIAL
VLO,—,66,2026-03-04,2026-03-09,225.78,215.84,2.2123,-23.49,-4.4,PARTIAL
XOM,XLE,70,2026-02-10,2026-03-10,151.71,147.91,3.2924,-14.02,-2.51,EMA21
PNW,—,65,2026-03-03,2026-03-10,102.08,100.91,4.8931,-7.24,-1.15,PARTIAL
