symbol,sector,score,entry_date,exit_date,entry,exit,shares,pnl,pnl_pct,outcome
KDP,—,66,2024-06-04,2024-06-12,34.85,33.56,573.8947,-741.33,-3.7,ATR
MO,XLP,61,2024-06-04,2024-06-13,46.87,45.68,426.4241,-507.78,-2.53,ATR
SO,—,65,2024-06-04,2024-06-17,80.77,77.56,247.5482,-796.9,-3.98,ATR
MU,SMH,80,2024-06-13,2024-06-21,143.25,139.33,136.9476,-539.36,-2.74,ATR
QCOM,SMH,69,2024-06-17,2024-06-21,222.4,212.21,87.7969,-896.35,-4.58,ATR
WELL,—,62,2024-06-04,2024-06-25,104.57,100.78,191.1459,-727.4,-3.63,ATR
GOOGL,XLC,68,2024-06-25,2024-07-17,184.18,180.75,104.9185,-361.74,-1.86,ATR
BSX,—,62,2024-06-21,2024-07-18,77.77,75.44,245.7033,-575.84,-3.0,ATR
EXR,—,64,2024-07-17,2024-07-24,167.94,161.63,115.3687,-730.79,-3.76,ATR
RCL,—,65,2024-06-04,2024-07-25,155.28,151.79,128.746,-451.6,-2.25,ATR
MSI,—,59,2024-06-21,2024-07-25,386.35,385.07,49.4518,-65.17,-0.33,ATR
INFY,—,55,2024-07-18,2024-08-05,22.27,20.77,865.011,-1298.65,-6.73,ATR
PM,XLP,61,2024-07-24,2024-08-05,111.53,113.39,170.6456,315.49,1.67,ATR
TSN,—,55,2024-08-05,2024-09-10,62.56,63.09,295.7825,153.35,0.84,ATR
WTW,—,56,2024-07-25,2024-10-03,277.82,290.15,67.4136,829.35,4.44,ATR
TYL,—,59,2024-07-25,2024-10-23,564.79,581.35,33.1665,547.08,2.93,ATR
PLTR,IGV,75,2024-09-10,2024-11-04,34.79,41.35,554.3272,3634.43,18.86,ATR
GILD,—,64,2024-11-04,2024-11-13,89.91,92.49,225.2721,579.02,2.87,ATR
K,—,39,2024-08-05,2024-12-04,73.26,80.37,252.5438,1793.76,9.71,ATR
FI,—,71,2024-10-03,2024-12-05,183.51,203.69,107.3342,2164.79,11.0,ATR
DAL,—,82,2024-11-13,2024-12-09,64.51,62.17,322.6557,-758.61,-3.63,ATR
UAL,—,87,2024-12-05,2024-12-13,102.52,94.97,206.3276,-1560.73,-7.37,ATR
RCL,—,89,2024-12-04,2024-12-17,249.94,241.71,85.0397,-702.12,-3.29,ATR
MRVL,SMH,70,2024-12-13,2024-12-18,120.87,105.12,173.2485,-2729.72,-13.03,ATR
WMT,XLP,65,2024-10-23,2024-12-20,83.34,92.1,245.8412,2152.8,10.52,ATR
TSLA,XLY,76,2024-12-09,2024-12-20,390.1,420.43,52.58,1592.57,7.77,ATR
AAPL,XLK,59,2024-12-17,2025-01-02,253.68,243.48,83.1686,-850.2,-4.02,ATR
PLTR,IGV,73,2024-12-24,2025-01-07,82.45,69.89,244.2529,-3070.03,-15.24,ATR
TPR,—,81,2024-12-26,2025-02-10,66.23,78.93,304.0201,3858.59,19.17,ATR
HOOD,—,80,2025-02-10,2025-02-20,56.32,55.98,380.2316,-130.94,-0.6,ATR
BSX,—,57,2025-01-07,2025-02-25,92.06,100.57,211.1137,1793.59,9.24,ATR
RL,—,68,2025-01-06,2025-03-03,243.15,261.97,81.381,1528.95,7.74,ATR
PM,XLP,65,2025-02-25,2025-03-07,157.55,150.72,136.5395,-933.52,-4.33,ATR
