symbol,sector,score,entry_date,exit_date,entry,exit,shares,pnl,pnl_pct,outcome
AMAT,SMH,84,2025-12-04,2025-12-17,269.66,247.9,74.165,-1615.68,-8.07,ATR
CAT,XLI,77,2025-12-04,2025-12-17,599.63,561.05,33.3409,-1288.37,-6.43,ATR
GM,—,71,2025-12-04,2026-01-20,75.35,77.69,265.2787,619.56,3.11,ATR
DG,—,62,2025-12-17,2026-01-29,137.08,141.57,141.6601,633.74,3.27,ATR
NEM,—,71,2026-01-20,2026-01-30,119.04,112.18,170.7619,-1172.35,-5.76,ATR
EA,—,66,2025-12-04,2026-02-03,203.6,201.09,98.1589,-248.85,-1.24,ATR
CMI,—,77,2026-02-03,2026-02-05,603.17,539.84,35.9677,-2279.94,-10.5,ATR
LUV,—,83,2026-01-29,2026-02-25,48.54,49.82,432.9021,550.54,2.63,ATR
AMAT,SMH,79,2026-02-25,2026-03-03,395.27,350.79,57.7251,-2569.21,-11.25,ATR
JNJ,XLV,71,2026-02-05,2026-03-05,237.98,239.27,89.2786,113.2,0.54,ATR
TER,—,82,2025-12-04,2026-03-06,198.79,272.64,100.5871,7426.51,37.15,ATR
FDX,—,74,2026-01-30,2026-03-06,259.7,288.74,77.7904,2256.93,11.18,ATR
WM,—,67,2026-03-05,2026-03-18,246.29,233.44,86.7081,-1115.99,-5.22,ATR
EQT,—,63,2026-03-11,2026-04-01,63.88,61.0,315.931,-912.73,-4.51,ATR
EOG,XLE,78,2026-03-18,2026-04-01,137.63,140.21,146.3198,375.41,1.87,ATR
VZ,XLC,73,2026-03-03,2026-04-06,50.91,49.08,423.3687,-778.64,-3.6,ATR
GLW,—,70,2026-04-08,2026-04-28,165.23,152.82,122.1658,-1518.28,-7.51,ATR
TER,—,74,2026-04-08,2026-04-29,358.58,305.87,56.3036,-2969.54,-14.7,ATR
EQIX,—,76,2026-04-08,2026-05-07,1018.47,1065.16,19.8263,923.61,4.58,ATR
QSR,—,55,2026-03-06,2026-05-13,74.04,76.33,276.8457,630.91,3.09,ATR
WST,—,64,2026-05-07,2026-05-13,322.27,301.95,61.5303,-1252.37,-6.31,ATR
EBAY,—,71,2026-05-13,2026-05-29,113.1,109.11,177.5237,-711.09,-3.53,ATR
NUE,—,57,2026-04-28,2026-06-03,225.29,257.6,90.5337,2923.24,14.34,EOD
STM,—,73,2026-04-29,2026-06-03,52.71,79.67,371.5491,10014.22,51.14,EOD
MRVL,SMH,76,2026-05-13,2026-06-03,178.09,301.5,112.7584,13913.16,69.29,EOD
FTNT,IGV,78,2026-05-29,2026-06-03,138.08,146.41,154.2977,1282.74,6.03,EOD
