symbol,sector,score,entry_date,exit_date,entry,exit,shares,pnl,pnl_pct,outcome
SO,—,65,2024-06-04,2024-06-06,80.77,78.61,123.7741,-269.33,-2.68,PARTIAL
SO,—,65,2024-06-04,2024-06-07,80.77,77.82,123.7741,-366.82,-3.65,EMA21
KDP,—,66,2024-06-04,2024-06-10,34.85,34.14,286.9474,-203.78,-2.02,PARTIAL
WELL,—,62,2024-06-04,2024-06-10,104.57,103.48,95.5729,-106.19,-1.05,PARTIAL
KDP,—,66,2024-06-04,2024-06-11,34.85,33.78,286.9474,-308.13,-3.07,EMA21
MO,XLP,61,2024-06-04,2024-06-11,46.87,46.38,213.212,-106.12,-1.05,PARTIAL
MO,XLP,61,2024-06-04,2024-06-13,46.87,45.68,213.212,-254.39,-2.53,EMA21
RCL,—,65,2024-06-04,2024-06-14,155.28,148.43,64.373,-442.99,-4.42,PARTIAL
RCL,—,65,2024-06-04,2024-06-14,155.28,148.28,64.373,-452.55,-4.51,EMA21
FSLR,—,77,2024-06-11,2024-06-14,294.77,273.47,33.3067,-710.68,-7.22,PARTIAL
FSLR,—,77,2024-06-11,2024-06-20,294.77,259.68,33.3067,-1170.09,-11.9,EMA21
QCOM,SMH,72,2024-06-13,2024-06-20,217.98,215.36,45.5518,-120.94,-1.2,PARTIAL
WELL,—,62,2024-06-04,2024-06-21,104.57,102.17,95.5729,-231.55,-2.3,EMA21
MU,SMH,81,2024-06-10,2024-06-21,134.93,139.47,73.0781,330.45,3.37,PARTIAL
NVDA,SMH,67,2024-06-14,2024-06-21,131.99,126.51,73.276,-402.96,-4.15,PARTIAL
QCOM,SMH,72,2024-06-13,2024-06-24,217.98,200.54,45.5518,-796.17,-8.0,EMA21
NVDA,SMH,67,2024-06-14,2024-06-24,131.99,117.93,73.276,-1031.22,-10.65,EMA21
BSX,—,62,2024-06-21,2024-06-24,77.77,76.67,121.926,-135.68,-1.42,PARTIAL
WMT,XLP,60,2024-06-20,2024-06-25,68.06,67.39,141.6232,-97.54,-1.0,PARTIAL
VTR,—,63,2024-06-24,2024-06-25,50.73,49.87,184.5108,-161.19,-1.71,PARTIAL
MU,SMH,81,2024-06-10,2024-06-27,134.93,132.03,73.0781,-213.15,-2.15,EMA21
IP,—,65,2024-06-24,2024-06-27,47.36,43.23,197.6849,-817.84,-8.72,PARTIAL
IP,—,65,2024-06-24,2024-06-27,47.36,43.19,197.6849,-826.39,-8.81,EMA21
BSX,—,62,2024-06-21,2024-07-01,77.77,76.3,121.926,-181.56,-1.9,EMA21
GOOG,XLC,65,2024-06-27,2024-07-11,187.01,187.21,48.6567,8.08,0.11,PARTIAL
GOOGL,XLC,65,2024-06-27,2024-07-11,185.56,185.48,49.0288,-5.48,-0.04,PARTIAL
GOOG,XLC,65,2024-06-27,2024-07-17,187.01,182.35,48.6567,-228.41,-2.49,EMA21
GOOGL,XLC,65,2024-06-27,2024-07-17,185.56,180.75,49.0288,-237.32,-2.59,EMA21
TRGP,—,60,2024-07-01,2024-07-24,131.38,131.55,68.7825,10.82,0.14,PARTIAL
TRGP,—,60,2024-07-01,2024-07-24,131.38,131.42,68.7825,1.77,0.04,EMA21
EXR,—,64,2024-07-17,2024-07-24,167.94,161.79,54.6182,-337.68,-3.67,PARTIAL
WMT,XLP,60,2024-06-20,2024-07-30,68.06,69.09,141.6232,143.21,1.5,EMA21
EXR,—,64,2024-07-17,2024-07-31,167.94,159.38,54.6182,-469.23,-5.1,EMA21
VRSK,—,65,2024-07-30,2024-07-31,286.22,261.62,32.2154,-793.99,-8.59,PARTIAL
VRSK,—,65,2024-07-30,2024-07-31,286.22,261.36,32.2154,-802.42,-8.69,EMA21
WELL,—,58,2024-07-17,2024-08-05,106.88,110.98,85.8125,351.11,3.84,PARTIAL
PM,XLP,61,2024-07-24,2024-08-05,111.53,113.5,81.7099,159.8,1.77,PARTIAL
NEM,—,61,2024-07-31,2024-08-05,49.11,47.01,183.7091,-387.8,-4.28,PARTIAL
NEM,—,61,2024-07-31,2024-08-07,49.11,46.33,183.7091,-512.0,-5.66,EMA21
IRM,—,74,2024-07-31,2024-08-29,102.64,111.93,87.911,815.36,9.05,PARTIAL
MELI,—,49,2024-08-07,2024-09-03,1861.19,1989.17,4.8711,621.93,6.88,PARTIAL
IRM,—,74,2024-07-31,2024-09-05,102.64,108.92,87.911,550.08,6.11,EMA21
UHS,—,73,2024-09-05,2024-09-06,239.5,229.04,39.8669,-418.75,-4.37,PARTIAL
UHS,—,73,2024-09-05,2024-09-09,239.5,226.17,39.8669,-532.97,-5.57,EMA21
PM,XLP,61,2024-07-24,2024-09-18,111.53,120.78,81.7099,754.27,8.29,EMA21
VTR,—,63,2024-06-24,2024-09-19,50.73,62.11,184.5108,2097.52,22.42,EMA21
LEN,—,70,2024-09-19,2024-09-20,192.6,182.1,49.5262,-521.78,-5.45,PARTIAL
PSA,—,74,2024-09-09,2024-09-25,351.78,359.4,27.0646,204.71,2.17,PARTIAL
LEN,—,70,2024-09-19,2024-09-25,192.6,181.59,49.5262,-547.12,-5.72,EMA21
MELI,—,49,2024-08-07,2024-09-30,1861.19,2048.88,4.8711,912.77,10.08,EMA21
IBM,XLK,70,2024-09-25,2024-10-01,221.41,219.24,42.7526,-94.13,-0.98,PARTIAL
PSA,—,74,2024-09-09,2024-10-03,351.78,352.47,27.0646,17.16,0.2,EMA21
WELL,—,58,2024-07-17,2024-10-04,106.88,125.37,85.8125,1585.71,17.31,EMA21
PH,—,63,2024-09-18,2024-10-08,609.52,627.03,15.6743,272.94,2.87,PARTIAL
LMT,XLI,72,2024-09-30,2024-10-10,585.03,597.19,16.1643,195.12,2.08,PARTIAL
VFC,—,82,2024-10-04,2024-10-14,21.33,19.35,446.032,-883.18,-9.27,PARTIAL
VFC,—,82,2024-10-04,2024-10-14,21.33,19.33,446.032,-891.82,-9.36,EMA21
LMT,XLI,72,2024-09-30,2024-10-22,585.03,576.11,16.1643,-145.57,-1.52,EMA21
PH,—,63,2024-09-18,2024-10-24,609.52,623.2,15.6743,213.03,2.25,EMA21
IBM,XLK,70,2024-09-25,2024-10-24,221.41,218.06,42.7526,-144.49,-1.51,EMA21
PLTR,IGV,74,2024-10-03,2024-10-30,39.27,43.67,240.9134,1057.74,11.2,PARTIAL
TMUS,XLC,68,2024-10-24,2024-10-30,233.75,222.66,40.4962,-450.53,-4.74,PARTIAL
PLTR,IGV,74,2024-10-03,2024-10-31,39.27,41.5,240.9134,534.84,5.67,EMA21
FI,—,65,2024-10-22,2024-10-31,199.83,197.8,47.3674,-97.59,-1.02,PARTIAL
DASH,—,79,2024-10-14,2024-11-15,150.14,169.35,63.5982,1219.92,12.79,PARTIAL
FI,—,65,2024-10-22,2024-12-05,199.83,203.69,47.3674,181.54,1.93,EMA21
TMUS,XLC,68,2024-10-24,2024-12-09,233.75,228.52,40.4962,-213.3,-2.24,EMA21
UAL,—,82,2024-10-30,2024-12-09,80.48,95.97,116.4844,1802.57,19.24,PARTIAL
BKNG,XLY,69,2024-10-31,2024-12-09,187.2,205.88,49.5284,923.56,9.98,PARTIAL
RCL,—,84,2024-12-05,2024-12-09,251.34,247.02,41.337,-180.26,-1.72,PARTIAL
DASH,—,79,2024-10-14,2024-12-18,150.14,165.14,63.5982,952.59,9.99,EMA21
UAL,—,82,2024-10-30,2024-12-18,80.48,91.33,116.4844,1262.18,13.48,EMA21
BKNG,XLY,69,2024-10-31,2024-12-18,187.2,197.43,49.5284,505.36,5.47,EMA21
RCL,—,84,2024-12-05,2024-12-18,251.34,229.19,41.337,-917.33,-8.81,EMA21
TSLA,XLY,76,2024-12-09,2024-12-20,390.1,420.85,25.8506,793.35,7.88,PARTIAL
AAPL,XLK,61,2024-12-20,2024-12-30,254.69,252.07,39.284,-104.41,-1.03,PARTIAL
PLTR,IGV,73,2024-12-24,2024-12-30,82.45,77.14,122.9823,-653.86,-6.43,PARTIAL
TSLA,XLY,76,2024-12-09,2024-12-31,390.1,403.23,25.8506,337.98,3.37,EMA21
AAPL,XLK,61,2024-12-20,2025-01-02,254.69,243.48,39.284,-441.85,-4.4,EMA21
PLTR,IGV,73,2024-12-24,2025-01-07,82.45,69.89,122.9823,-1546.27,-15.24,EMA21
VRSN,—,54,2024-12-27,2025-01-10,204.11,206.98,48.7262,138.02,1.4,PARTIAL
RL,—,68,2025-01-06,2025-01-10,243.15,237.22,40.5762,-242.24,-2.44,PARTIAL
ANET,XLK,58,2025-01-06,2025-01-10,119.08,114.28,82.8435,-398.52,-4.02,PARTIAL
TPR,—,81,2024-12-26,2025-01-13,66.23,66.72,152.7509,72.38,0.73,PARTIAL
UAL,—,83,2025-01-10,2025-01-23,107.2,102.95,89.6836,-382.4,-3.96,PARTIAL
ANET,XLK,58,2025-01-06,2025-01-27,119.08,100.15,82.8435,-1569.37,-15.89,EMA21
UAL,—,83,2025-01-10,2025-02-11,107.2,103.16,89.6836,-363.88,-3.77,EMA21
BSX,—,66,2025-01-27,2025-02-18,102.35,105.3,93.7768,274.72,2.88,PARTIAL
TKO,—,79,2025-02-11,2025-02-19,176.67,166.49,56.2623,-574.5,-5.76,PARTIAL
TKO,—,79,2025-02-11,2025-02-21,176.67,158.58,56.2623,-1019.25,-10.24,EMA21
RL,—,68,2025-01-06,2025-02-25,243.15,267.77,40.5762,997.22,10.12,EMA21
BSX,—,66,2025-01-27,2025-02-25,102.35,100.57,93.7768,-168.69,-1.74,EMA21
TPR,—,81,2024-12-26,2025-03-04,66.23,81.15,152.7509,2276.8,22.52,EMA21
PM,XLP,65,2025-02-25,2025-03-04,157.55,153.87,62.2702,-230.21,-2.33,PARTIAL
EXC,—,64,2025-02-25,2025-03-04,44.08,43.66,222.5455,-94.32,-0.95,PARTIAL
ABT,XLV,65,2025-02-21,2025-03-06,135.03,135.01,72.975,-2.63,-0.01,PARTIAL
