symbol,sector,score,entry_date,exit_date,entry,exit,shares,pnl,pnl_pct,outcome
AMAT,SMH,84,2025-12-04,2025-12-12,269.66,259.08,37.0825,-393.65,-3.92,PARTIAL
TER,—,82,2025-12-04,2025-12-12,198.79,193.27,50.2936,-278.9,-2.77,PARTIAL
CAT,XLI,77,2025-12-04,2025-12-12,599.63,597.59,16.6705,-35.48,-0.34,PARTIAL
AMAT,SMH,84,2025-12-04,2025-12-17,269.66,247.9,37.0825,-808.34,-8.07,EMA21
TER,—,82,2025-12-04,2025-12-17,198.79,184.93,50.2936,-698.4,-6.97,EMA21
CAT,XLI,77,2025-12-04,2025-12-17,599.63,561.05,16.6705,-644.68,-6.43,EMA21
EA,—,66,2025-12-04,2025-12-17,203.6,203.53,49.0794,-5.16,-0.04,PARTIAL
STLD,—,70,2025-12-18,2025-12-29,174.72,172.79,56.2353,-109.82,-1.1,PARTIAL
HLT,—,61,2025-12-17,2025-12-30,293.23,290.28,33.5848,-100.56,-1.01,PARTIAL
GM,—,71,2025-12-04,2025-12-31,75.35,81.28,132.6393,784.93,7.87,PARTIAL
DG,—,62,2025-12-17,2025-12-31,137.08,132.7,71.8553,-315.94,-3.19,PARTIAL
STLD,—,70,2025-12-18,2025-12-31,174.72,169.2,56.2353,-312.13,-3.16,EMA21
HLT,—,61,2025-12-17,2026-01-05,293.23,285.34,33.5848,-266.59,-2.69,EMA21
GM,—,71,2025-12-04,2026-01-14,75.35,81.11,132.6393,762.23,7.64,EMA21
DD,—,74,2026-01-05,2026-01-14,42.04,42.87,235.7588,192.99,1.96,PARTIAL
EA,—,66,2025-12-04,2026-01-20,203.6,203.69,49.0794,2.98,0.04,EMA21
TER,—,83,2026-01-02,2026-01-20,207.73,223.87,47.0976,758.75,7.77,PARTIAL
DLTR,—,79,2026-01-14,2026-01-20,140.4,133.99,72.0106,-463.03,-4.56,PARTIAL
DLTR,—,79,2026-01-14,2026-01-22,140.4,126.6,72.0106,-995.42,-9.83,EMA21
ILMN,—,84,2026-01-22,2026-01-28,154.07,149.79,64.5596,-278.34,-2.78,PARTIAL
DG,—,62,2025-12-17,2026-01-29,137.08,141.57,71.8553,320.97,3.27,EMA21
NEM,—,71,2026-01-20,2026-01-30,119.04,112.29,83.2636,-562.81,-5.66,PARTIAL
NEM,—,71,2026-01-20,2026-01-30,119.04,112.18,83.2636,-572.16,-5.76,EMA21
ILMN,—,84,2026-01-22,2026-01-30,154.07,144.59,64.5596,-613.55,-6.15,EMA21
LUV,—,83,2026-01-29,2026-02-11,48.54,51.4,207.7151,593.7,5.9,PARTIAL
CVX,XLE,62,2026-01-30,2026-02-17,177.04,180.46,54.7516,185.65,1.93,PARTIAL
LUV,—,83,2026-01-29,2026-02-25,48.54,49.82,207.7151,263.62,2.63,EMA21
DD,—,74,2026-01-05,2026-03-03,42.04,48.2,235.7588,1449.36,14.64,EMA21
FDX,—,74,2026-01-30,2026-03-03,259.7,307.89,37.3317,1797.45,18.56,PARTIAL
AMAT,SMH,79,2026-02-25,2026-03-03,395.27,351.14,27.5312,-1216.22,-11.16,PARTIAL
AMAT,SMH,79,2026-02-25,2026-03-03,395.27,350.79,27.5312,-1225.9,-11.25,EMA21
MCK,—,71,2026-03-03,2026-03-05,996.49,930.88,10.455,-687.37,-6.58,PARTIAL
MCK,—,71,2026-03-03,2026-03-05,996.49,929.95,10.455,-697.11,-6.68,EMA21
TER,—,83,2026-01-02,2026-03-06,207.73,272.64,47.0976,3055.81,31.25,EMA21
FDX,—,74,2026-01-30,2026-03-06,259.7,288.74,37.3317,1082.56,11.18,EMA21
VZ,XLC,73,2026-03-03,2026-03-09,50.91,50.42,204.6732,-100.95,-0.95,PARTIAL
WM,—,67,2026-03-05,2026-03-10,246.29,235.42,41.7298,-454.88,-4.41,PARTIAL
WM,—,67,2026-03-05,2026-03-10,246.29,235.19,41.7298,-464.71,-4.51,EMA21
QSR,—,55,2026-03-06,2026-03-10,74.04,71.96,136.0551,-283.84,-2.8,PARTIAL
VZ,XLC,73,2026-03-03,2026-03-18,50.91,49.52,204.6732,-287.04,-2.74,EMA21
EQT,—,63,2026-03-11,2026-03-18,63.88,63.49,155.199,-62.47,-0.61,PARTIAL
DOW,—,77,2026-03-12,2026-03-23,37.61,36.02,264.9865,-422.32,-4.22,PARTIAL
QSR,—,55,2026-03-06,2026-03-27,74.04,71.31,136.0551,-372.43,-3.68,EMA21
EQT,—,63,2026-03-11,2026-03-31,63.88,63.54,155.199,-53.73,-0.53,EMA21
CVX,XLE,62,2026-01-30,2026-04-01,177.04,197.11,54.7516,1097.49,11.34,EMA21
EOG,XLE,78,2026-03-18,2026-04-01,137.63,140.35,72.2992,195.14,1.98,PARTIAL
EOG,XLE,78,2026-03-18,2026-04-08,137.63,138.84,72.2992,86.08,0.88,EMA21
DOW,—,77,2026-03-12,2026-04-09,37.61,37.98,264.9865,97.31,0.99,EMA21
GLW,—,70,2026-04-08,2026-04-17,165.23,164.3,60.0665,-57.62,-0.57,PARTIAL
EQIX,—,76,2026-04-08,2026-04-27,1018.47,1089.31,9.7482,688.97,6.95,PARTIAL
TER,—,74,2026-04-08,2026-04-28,358.58,379.94,27.6833,589.91,5.96,PARTIAL
GLW,—,70,2026-04-08,2026-04-28,165.23,152.82,60.0665,-747.02,-7.51,EMA21
ROST,—,69,2026-04-08,2026-04-28,224.65,225.41,44.172,31.97,0.34,PARTIAL
DELL,XLK,84,2026-04-17,2026-04-28,196.71,205.83,51.6914,469.91,4.64,PARTIAL
TER,—,74,2026-04-08,2026-04-29,358.58,305.87,27.6833,-1460.58,-14.7,EMA21
EQIX,—,76,2026-04-08,2026-05-07,1018.47,1065.16,9.7482,453.6,4.58,EMA21
ROST,—,69,2026-04-08,2026-05-07,224.65,224.14,44.172,-23.86,-0.23,EMA21
WST,—,64,2026-05-07,2026-05-12,322.27,311.91,31.6336,-329.02,-3.21,PARTIAL
CDNS,IGV,45,2026-05-07,2026-05-14,357.19,352.66,28.5363,-130.54,-1.27,PARTIAL
NUE,—,57,2026-04-28,2026-05-15,225.29,226.91,45.0924,71.39,0.72,PARTIAL
CDNS,IGV,45,2026-05-07,2026-05-19,357.19,337.61,28.5363,-560.03,-5.48,EMA21
MPC,—,69,2026-05-19,2026-05-21,263.23,248.31,38.8998,-582.06,-5.67,PARTIAL
MPC,—,69,2026-05-19,2026-05-27,263.23,246.68,38.8998,-645.33,-6.29,EMA21
DELL,XLK,84,2026-04-17,2026-06-03,196.71,420.87,51.6914,11585.75,113.96,EOD
NUE,—,57,2026-04-28,2026-06-03,225.29,257.6,45.0924,1455.48,14.34,EOD
STM,—,73,2026-04-29,2026-06-03,52.71,79.67,376.9894,10160.88,51.14,EOD
WST,—,64,2026-05-07,2026-06-03,322.27,316.15,31.6336,-194.96,-1.9,EOD
STX,—,77,2026-05-27,2026-06-03,871.36,940.22,24.9362,1715.18,7.9,EOD
