symbol,sector,score,entry_date,exit_date,entry,exit,shares,pnl,pnl_pct,outcome
NFLX,XLC,82,2025-06-04,2025-06-09,124.07,122.27,40.2912,-73.89,-1.45,A:EMA8
PWR,—,82,2025-06-04,2025-06-10,359.4,348.24,13.9068,-156.46,-3.11,A:EMA8
GE,XLI,68,2025-06-04,2025-06-10,251.08,241.64,19.8994,-189.17,-3.76,A:EMA8
GE,XLI,68,2025-06-04,2025-06-10,251.08,241.64,39.7988,-377.35,-3.76,B:ATR2.5x
APH,—,84,2025-06-04,2025-06-13,91.98,92.35,54.3548,18.74,0.4,A:EMA8
GE,XLI,68,2025-06-04,2025-06-13,251.08,236.25,19.8994,-296.47,-5.91,A:EMA21
PM,XLP,65,2025-06-13,2025-06-18,184.48,182.34,26.7063,-58.44,-1.16,A:EMA8
PM,XLP,65,2025-06-13,2025-06-25,184.48,179.33,26.7063,-138.7,-2.79,A:EMA21
PM,XLP,65,2025-06-13,2025-07-01,184.48,177.26,53.4125,-386.8,-3.91,B:ATR2.5x
STX,—,71,2025-06-04,2025-07-08,127.74,144.25,39.1195,644.66,12.93,A:EMA8
STX,—,71,2025-06-04,2025-07-09,127.74,141.8,78.2389,1098.14,11.0,B:ATR2.5x
NFLX,XLC,82,2025-06-04,2025-07-10,124.07,124.87,40.2912,31.11,0.65,A:EMA21
NFLX,XLC,82,2025-06-04,2025-07-10,124.07,124.87,80.5825,63.23,0.65,B:ATR2.5x
TXN,SMH,76,2025-07-10,2025-07-16,219.84,216.32,23.75,-84.87,-1.6,A:EMA8
APH,—,84,2025-06-04,2025-07-23,91.98,100.56,108.7097,930.73,9.32,B:ATR2.5x
TXN,SMH,76,2025-07-10,2025-07-23,219.84,185.97,23.75,-805.55,-15.4,A:EMA21
TXN,SMH,76,2025-07-10,2025-07-23,219.84,185.97,47.5,-1610.09,-15.4,B:ATR2.5x
RCL,—,81,2025-07-01,2025-07-29,315.35,333.87,16.3466,301.43,5.87,A:EMA8
RCL,—,81,2025-07-01,2025-07-30,315.35,330.65,16.3466,248.87,4.85,A:EMA21
RCL,—,81,2025-07-01,2025-07-30,315.35,330.65,32.6933,498.75,4.85,B:ATR2.5x
PWR,—,82,2025-06-04,2025-08-01,359.4,394.58,13.9068,487.99,9.79,A:EMA21
PWR,—,82,2025-06-04,2025-08-01,359.4,394.58,27.8135,976.98,9.79,B:ATR2.5x
AVGO,SMH,78,2025-07-30,2025-08-01,302.86,288.21,17.158,-252.7,-4.84,A:EMA8
STX,—,71,2025-06-04,2025-08-06,127.74,147.05,39.1195,754.03,15.11,A:EMA21
WDC,—,93,2025-07-23,2025-08-06,69.38,73.67,75.2521,321.87,6.19,A:EMA8
NOC,—,58,2025-08-01,2025-08-08,586.91,580.24,8.8616,-60.36,-1.14,A:EMA8
PLTR,IGV,68,2025-08-06,2025-08-15,179.68,176.9,28.9141,-81.61,-1.55,A:EMA8
AVGO,SMH,78,2025-07-30,2025-08-19,302.86,294.47,17.158,-145.28,-2.77,A:EMA21
PLTR,IGV,68,2025-08-06,2025-08-19,179.68,157.51,28.9141,-642.28,-12.34,A:EMA21
PLTR,IGV,68,2025-08-06,2025-08-19,179.68,157.51,57.8282,-1283.57,-12.34,B:ATR2.5x
AVGO,SMH,78,2025-07-30,2025-08-20,302.86,290.73,34.3161,-417.71,-4.0,B:ATR2.5x
