symbol,sector,score,entry_date,exit_date,entry,exit,shares,pnl,pnl_pct,outcome
AMAT,SMH,84,2025-12-04,2025-12-12,269.66,258.82,18.5412,-202.13,-4.02,A:EMA8
TER,—,82,2025-12-04,2025-12-12,198.79,193.08,25.1468,-144.81,-2.87,A:EMA8
CAT,XLI,77,2025-12-04,2025-12-12,599.63,596.99,8.3352,-23.22,-0.44,A:EMA8
AMAT,SMH,84,2025-12-04,2025-12-17,269.66,247.9,18.5412,-404.67,-8.07,A:EMA21
AMAT,SMH,84,2025-12-04,2025-12-17,269.66,247.9,37.0825,-808.34,-8.07,B:ATR2.5x
TER,—,82,2025-12-04,2025-12-17,198.79,184.93,25.1468,-349.7,-6.97,A:EMA21
CAT,XLI,77,2025-12-04,2025-12-17,599.63,561.05,8.3352,-322.84,-6.43,A:EMA21
CAT,XLI,77,2025-12-04,2025-12-17,599.63,561.05,16.6705,-644.68,-6.43,B:ATR2.5x
EA,—,66,2025-12-04,2025-12-17,203.6,203.32,24.5397,-8.08,-0.14,A:EMA8
HLT,—,61,2025-12-17,2025-12-30,293.23,289.99,16.6685,-55.26,-1.1,A:EMA8
GM,—,71,2025-12-04,2025-12-31,75.35,81.2,66.3197,386.57,7.76,A:EMA8
DG,—,62,2025-12-17,2025-12-31,137.08,132.57,35.6625,-162.04,-3.29,A:EMA8
HLT,—,61,2025-12-17,2026-01-05,293.23,285.34,16.6685,-132.82,-2.69,A:EMA21
GM,—,71,2025-12-04,2026-01-14,75.35,81.11,66.3197,380.61,7.64,A:EMA21
GM,—,71,2025-12-04,2026-01-20,75.35,77.69,132.6393,309.28,3.11,B:ATR2.5x
EA,—,66,2025-12-04,2026-01-20,203.6,203.69,24.5397,0.99,0.04,A:EMA21
HLT,—,61,2025-12-17,2026-01-20,293.23,289.55,33.337,-124.49,-1.26,B:ATR2.5x
DG,—,62,2025-12-17,2026-01-29,137.08,141.57,35.6625,158.79,3.27,A:EMA21
DG,—,62,2025-12-17,2026-01-29,137.08,141.57,71.3251,318.59,3.27,B:ATR2.5x
MNST,—,66,2026-01-20,2026-01-29,81.54,79.92,61.3103,-100.28,-1.98,A:EMA8
NEM,—,71,2026-01-20,2026-01-30,119.04,112.18,42.0027,-289.12,-5.76,A:EMA8
NEM,—,71,2026-01-20,2026-01-30,119.04,112.18,42.0027,-289.12,-5.76,A:EMA21
NEM,—,71,2026-01-20,2026-01-30,119.04,112.18,84.0053,-577.25,-5.76,B:ATR2.5x
EA,—,66,2025-12-04,2026-02-03,203.6,201.09,49.0794,-124.93,-1.24,B:ATR2.5x
CMI,—,77,2026-02-03,2026-02-05,603.17,539.84,8.6292,-547.76,-10.5,A:EMA8
CMI,—,77,2026-02-03,2026-02-05,603.17,539.84,8.6292,-547.76,-10.5,A:EMA21
CMI,—,77,2026-02-03,2026-02-05,603.17,539.84,17.2584,-1094.53,-10.5,B:ATR2.5x
MNST,—,66,2026-01-20,2026-02-10,81.54,80.05,61.3103,-92.32,-1.82,A:EMA21
LUV,—,83,2026-01-29,2026-02-11,48.54,51.35,104.8664,293.85,5.8,A:EMA8
JNJ,XLV,71,2026-02-05,2026-02-20,237.98,242.13,21.5287,88.01,1.74,A:EMA8
LUV,—,83,2026-01-29,2026-02-25,48.54,49.82,104.8664,132.6,2.63,A:EMA21
LUV,—,83,2026-01-29,2026-02-25,48.54,49.82,209.7329,266.2,2.63,B:ATR2.5x
